year_month,year,month,n_tenders,n_lots,total_value,n_lots_one_bid,total_value_one_bid,share_one_bid_num,share_one_bid_value,avg_bids,median_bids,avg_lot_value,median_lot_value,zero_lots_month,outlier_total_value,outlier_share_value
2011-02,2011,2,62,119,15060134.73,19,2046453.0,0.15966386554621848,0.13588543772609396,8.966386554621849,3.0,126555.75403361346,12264.0,0,0,0
2011-03,2011,3,86,210,25150120.51,29,2840329.92,0.1380952380952381,0.11293504215499282,6.328571428571428,5.0,119762.47861904763,10195.810000000001,0,0,0
2011-04,2011,4,79,169,11104337.97,29,2284826.49,0.17159763313609466,0.20575981172158075,5.023668639053255,3.0,65706.14183431953,14777.0,0,0,0
2011-05,2011,5,87,115,9306227.18,18,2662523.0,0.1565217391304348,0.2861012253947577,5.226086956521739,4.0,80923.71460869565,19844.0,0,0,0
2011-06,2011,6,117,213,15269349.37,23,1923667.5,0.107981220657277,0.12598228342194256,4.962441314553991,4.0,71687.08624413145,8915.0,0,0,0
2011-07,2011,7,100,227,15848531.879999999,47,1627593.85,0.20704845814977973,0.10269682153044955,4.466960352422907,3.0,69817.32105726872,18232.0,0,0,0
2011-08,2011,8,120,250,14566466.35,76,1583662.0,0.304,0.10871971018557977,3.676,3.0,58265.865399999995,10203.5,0,0,0
2011-09,2011,9,116,251,15452289.25,85,4953964.36,0.3386454183266932,0.32059743898464754,2.653386454183267,2.0,61562.90537848606,12004.0,0,0,0
2011-10,2011,10,147,288,16504452.17,109,6372670.0,0.3784722222222222,0.3861182385431458,2.892361111111111,2.0,57307.12559027778,4602.0,0,0,0
2011-11,2011,11,144,297,12805582.49,85,2307609.77,0.28619528619528617,0.18020342079729948,3.5723905723905722,2.0,43116.43936026936,7445.0,0,0,0
2011-12,2011,12,245,474,16325842.94,164,4939583.98,0.3459915611814346,0.30256226267481173,3.567510548523207,2.0,34442.70662447257,6353.5,0,0,0
2012-01,2012,1,87,177,8015712.55,54,4734968.32,0.3050847457627119,0.5907108432924033,2.8361581920903953,2.0,45286.5115819209,3665.0,0,0,0
2012-02,2012,2,82,245,11469154.64,83,3482288.0,0.33877551020408164,0.30362202876357763,7.73469387755102,3.0,46812.876081632654,3400.0,0,0,0
2012-03,2012,3,86,166,9621048.48,31,1900920.1099999999,0.18674698795180722,0.19757930894450704,4.524096385542169,3.0,57958.12337349398,8415.5,0,0,0
2012-04,2012,4,70,187,4835585.95,54,2094711.0,0.2887700534759358,0.4331865924128595,3.513368983957219,3.0,25858.748395721926,2339.0,0,0,0
2012-05,2012,5,104,255,7418665.74,47,2215898.2199999997,0.1843137254901961,0.2986922847935186,4.325490196078431,3.0,29092.806823529412,3902.0,0,0,0
2012-06,2012,6,103,191,9272175.1,33,1139631.06,0.17277486910994763,0.1229087077960812,4.979057591623037,3.0,48545.419371727745,9359.0,0,0,0
2012-07,2012,7,135,333,21660197.35,57,3643812.7,0.17117117117117117,0.1682262003951686,4.486486486486487,3.0,65045.63768768769,9824.0,0,0,0
2012-08,2012,8,153,365,19847950.43,73,2035900.69,0.2,0.1025748576499241,4.512328767123288,3.0,54377.94638356164,4395.0,0,0,0
2012-09,2012,9,136,290,11525453.45,68,3351813.0,0.23448275862068965,0.2908183191699065,4.2620689655172415,3.0,39742.94293103448,7414.5,0,0,0
2012-10,2012,10,163,333,14396128.61,110,4512522.2,0.3303303303303303,0.31345386820630805,3.7537537537537538,2.0,43231.61744744745,7212.0,0,0,0
2012-11,2012,11,170,313,11856875.26,93,4356570.55,0.2971246006389776,0.36742990496806494,3.2843450479233227,2.0,37881.390607028756,9240.0,0,0,0
2012-12,2012,12,188,483,12485636.31,211,3286523.61,0.43685300207039335,0.26322435864704435,3.484472049689441,2.0,25850.178695652176,4173.0,0,0,0
2013-01,2013,1,112,293,14919971.78,71,2680811.03,0.24232081911262798,0.17967936330775017,3.7747440273037545,3.0,50921.40539249146,5869.0,0,0,0
