date,currency,rate_units_per_usd
2017-09-01,RWF,822.4123825799851
2017-10-01,RWF,829.5790960138494
2017-11-01,RWF,836.8000016645951
2017-12-01,RWF,843.7847667875744
2018-01-01,RWF,839.1882616126019
2018-02-01,RWF,837.4640014648437
2018-03-01,RWF,841.1672723943537
2018-04-01,RWF,844.9809541248139
2018-05-01,RWF,848.429127568784
2018-06-01,RWF,846.5709519159226
2018-07-01,RWF,848.1972683993253
2018-08-01,RWF,852.0
2018-09-01,RWF,857.7119995117188
2018-10-01,RWF,853.2621751868206
2018-11-01,RWF,864.6081820401279
2018-12-01,RWF,853.4457135881696
2019-01-01,RWF,863.5591324515965
2019-02-01,RWF,865.4260009765625
2019-03-01,RWF,841.25
2019-04-01,RWF,894.279091574929
2019-05-01,RWF,897.1331842595881
2019-06-01,RWF,900.4010009765625
2019-07-01,RWF,906.629126507303
2019-08-01,RWF,905.614091352983
2019-09-01,RWF,912.6776210239956
2019-10-01,RWF,913.2382414444634
2019-11-01,RWF,920.7783726283482
2019-12-01,RWF,915.1520552201705
2020-01-01,RWF,924.3035517153533
2020-02-01,RWF,921.3982727050782
2020-03-01,RWF,928.4250516024503
2020-04-01,RWF,923.1892367276279
2020-05-01,RWF,923.3335048130581
2020-06-01,RWF,936.9090909090909
2020-07-01,RWF,942.5710475755775
2020-08-01,RWF,949.9707903180804
2020-09-01,RWF,944.1463955965909
2020-10-01,RWF,958.6099437366832
2020-11-01,RWF,972.3068237304688
2020-12-01,RWF,975.0373880137568
2021-01-01,RWF,970.2318929036459
2021-02-01,RWF,975.4957397460937
2021-03-01,RWF,969.6489947775136
2021-04-01,RWF,971.9743541370739
2021-05-01,RWF,974.9652390252976
2021-06-01,RWF,971.906269420277
2021-07-01,RWF,982.4688998135654
2021-08-01,RWF,993.0448275479404
2021-09-01,RWF,988.6634355024858
2021-10-01,RWF,988.2731904529389
2021-11-01,RWF,991.3252591219815
2021-12-01,RWF,996.2028171705163
2022-01-01,RWF,1001.6710902622768
2022-02-01,RWF,1005.8609069824219
2022-03-01,RWF,1006.6211282481318
2022-04-01,RWF,1008.1142549060639
2022-05-01,RWF,1010.170107754794
2022-06-01,RWF,1011.0703624378551
2022-07-01,RWF,1013.4589814685639
2022-08-01,RWF,1019.4253062372622
2022-09-01,RWF,1024.3425431685014
2022-10-01,RWF,1035.852573939732
2022-11-01,RWF,1041.1790882457387
2022-12-01,RWF,1056.4870050603693
2023-01-01,RWF,1063.0296519886363
2023-02-01,RWF,1074.090594482422
2023-03-01,RWF,1081.8682542883832
2023-04-01,RWF,1096.4023803710938
2023-05-01,RWF,1107.9436778192935
2023-06-01,RWF,1132.0275712446733
2023-07-01,RWF,1156.5612095424108
2023-08-01,RWF,1170.0144308338995
2023-09-01,RWF,1188.0477469308037
2023-10-01,RWF,1208.8831121271307
2023-11-01,RWF,1221.4169367009943
2023-12-01,RWF,1240.4178583054315
2024-01-01,RWF,1256.0163361922555
2024-02-01,RWF,1260.7348051525298
2024-03-01,RWF,1271.0225539434523
2024-04-01,RWF,1275.849032315341
2024-05-01,RWF,1280.9191735309103
2024-06-01,RWF,1292.4828369140625
2024-07-01,RWF,1298.9651940387228
2024-08-01,RWF,1305.6683904474432
2024-09-01,RWF,1328.4369245256696
